directoryId,groupId,name,description,managedBy,externalSynced,userCount,created_at,last_modified_at,updated_at,source_endpoint
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,3811d557-1b65-48e6-9a06-9ebf62108404,Business Case Approvers,,,False,,,,,admin_v2_directories_groups
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,f1bcd090-02f9-425d-85cc-2aa78c2fe131,compass-admins-sdexperts,Grants access to Compass and Compass administration features on sdexperts,,False,,,,,admin_v2_directories_groups
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,a725c073-4874-4002-95c4-385af179109b,compass-basic-users-sdexperts,Grants access to basic users and groups for Compass on sdexperts.,,False,,,,,admin_v2_directories_groups
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,c49ff542-29a2-4d8d-b3e3-a00dd5bbb43c,compass-user-access-admins-sdexperts,Grants access to administer users and groups for Compass on sdexperts. Doesn’t grant any product access.,,False,,,,,admin_v2_directories_groups
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,b708c917-d022-41e8-839f-855aa9e1ecfd,compass-users-sdexperts,Grants access to Compass on sdexperts,,False,,,,,admin_v2_directories_groups
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,0be15ca7-9c0a-4b8e-8331-1031350e0815,confluence-admins-sdexperts,Grants access to Confluence and Confluence administration features on sdexperts.,,False,,,,,admin_v2_directories_groups
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,5e0474e1-0c16-4a47-a718-eff2a07ee0c5,confluence-guests-sdexperts,Grants guest access to Confluence on sdexperts.,,False,,,,,admin_v2_directories_groups
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,81e88f95-894d-4f33-a81f-63452343e65b,confluence-user-access-admins-sdexperts,Grants access to administer users and groups for Confluence on sdexperts. Doesn’t grant any product access.,,False,,,,,admin_v2_directories_groups
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,1fc7c0eb-4524-41c4-a6ff-afc08a9ea27b,confluence-users-sdexperts,Grants access to Confluence on sdexperts.,,False,,,,,admin_v2_directories_groups
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,91f75fbd-19c9-480e-9dcf-8a5c9930c706,jira-admins-sdexperts,Grants access to the administration features for all Jira products on sdexperts,,False,,,,,admin_v2_directories_groups
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,7fca1be3-3691-44b9-9f11-f7df404613e0,jira-product-discovery-contributors-sdexperts,Grants access to contributors for Jira Product Discovery on sdexperts.,,False,,,,,admin_v2_directories_groups
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,841c3056-dde6-4109-870d-3eb324f44a32,jira-product-discovery-user-access-admins-sdexperts,Grants access to administer users and groups for Jira Product Discovery on sdexperts. Doesn’t grant any product access.,,False,,,,,admin_v2_directories_groups
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,ce75ec69-b9df-49ad-9e75-294c658a2b7c,jira-product-discovery-users-sdexperts,Grants access to Jira Product Discovery on sdexperts,,False,,,,,admin_v2_directories_groups
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,6c07af7a-c280-4160-b793-659dab52e4d0,jira-servicemanagement-customers-sdexperts,"Grants portal-only access to the help center, submit help requests and view articles on sdexperts",,False,,,,,admin_v2_directories_groups
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,bc39f49c-de89-4b44-be49-32aa31558eb7,jira-servicemanagement-stakeholders-sdexperts,Grants access to stakeholders for Jira Service Management on sdexperts,,False,,,,,admin_v2_directories_groups
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,667fe754-da82-4ef7-9323-9db0689465a8,jira-servicemanagement-user-access-admins-sdexperts,Grants access to administer users and groups for Jira Service Management on sdexperts. Doesn’t grant any product access.,,False,,,,,admin_v2_directories_groups
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,4ecba90b-b77c-4ca9-af87-e7efe81c3287,jira-servicemanagement-users-sdexperts,Grants access to Jira Service Management on sdexperts,,False,,,,,admin_v2_directories_groups
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,7d19b45f-7e19-4405-84af-421bad5b127b,jira-user-access-admins-sdexperts,Grants access to administer users and groups for Jira on sdexperts. Doesn’t grant any product access.,,False,,,,,admin_v2_directories_groups
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,80a9c6e2-66c9-4bb8-b2d9-d2fbc9e419a1,jira-users-sdexperts,Grants access to Jira on sdexperts,,False,,,,,admin_v2_directories_groups
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,36428575-2574-44bf-bfdf-23c26a1f2bbf,org-admins,"Grants access to administer org-level settings, users, and groups, and to view billing",,False,,,,,admin_v2_directories_groups
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,b99d334f-e083-4641-b449-c16457306e3e,Syndigo GID Approvers,,,False,,,,,admin_v2_directories_groups
a198bf3c-0ce2-42c5-ab5a-1e8ca8d4ad8c,0bb5560a-3b91-4fcb-9e85-36d0321f2918,TestGroup1,,,False,,,,,admin_v2_directories_groups
